YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2MDEW,T2MWET,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,DATE
2021,1,1,0.47,2.49,0.12,1.07,-0.09,0.49,101.79,3.56,5.23,1.53,3.71,89.69,5.63,7.25,2.84,4.41,91.75,2021-01-01
2021,1,2,2.2,2.76,0.54,4.35,2.97,3.66,100.68,4.41,6.74,2.9,3.84,223.38,6.85,9.28,5.45,3.84,223.81,2021-01-02
2021,1,3,0.47,2.65,0.11,1.99,1.27,1.63,100.69,3.97,4.94,2.7,2.24,175.56,5.96,8.43,3.6,4.83,176.69,2021-01-03
2021,1,4,1.31,2.53,0.31,2.22,0.28,1.25,100.74,3.02,4.76,1.48,3.28,335.19,4.65,8.35,2.23,6.12,335.62,2021-01-04
2021,1,5,1.03,2.53,0.25,2.36,0.71,1.54,100.56,2.1,4.09,1.13,2.95,329.69,3.49,7.49,1.26,6.23,329.69,2021-01-05
2021,1,6,1.42,2.87,0.34,1.78,-0.7,0.55,101.16,5.52,7.53,4.32,3.21,325.12,8.54,9.42,7.78,1.64,326.19,2021-01-06
2021,1,7,3.0,3.02,0.71,0.7,-2.13,-0.71,101.35,4.14,5.81,2.7,3.11,278.81,6.55,8.4,4.85,3.55,279.44,2021-01-07
2021,1,8,1.4,2.94,0.33,-0.24,-2.54,-1.39,100.81,3.6,5.17,2.22,2.95,277.44,5.54,7.84,3.13,4.71,278.25,2021-01-08
2021,1,9,3.08,3.12,0.72,-0.06,-3.81,-1.93,100.76,6.16,8.01,5.04,2.97,334.31,9.09,10.53,7.96,2.56,335.62,2021-01-09
2021,1,10,3.13,3.09,0.73,1.2,-1.9,-0.35,101.6,3.7,5.83,1.84,3.99,299.12,5.73,8.55,2.66,5.9,299.69,2021-01-10
2021,1,11,0.94,2.85,0.22,0.64,-0.27,0.19,101.64,2.46,3.47,1.55,1.93,170.56,4.12,6.41,2.19,4.22,170.62,2021-01-11
2021,1,12,3.12,3.08,0.72,1.55,-1.73,-0.09,101.3,2.56,3.98,0.48,3.5,275.38,3.98,6.21,0.62,5.59,275.38,2021-01-12
2021,1,13,3.0,3.02,0.69,1.68,-1.24,0.22,100.87,2.82,3.47,1.53,1.93,240.44,4.49,6.08,2.11,3.97,241.19,2021-01-13
2021,1,14,2.99,3.04,0.67,3.71,0.77,2.24,100.2,1.99,3.1,0.45,2.66,244.31,3.02,5.55,0.69,4.86,244.69,2021-01-14
2021,1,15,1.86,3.0,0.41,4.03,3.57,3.8,100.07,4.32,7.06,2.41,4.65,132.5,6.86,9.23,5.16,4.07,133.5,2021-01-15
2021,1,16,2.14,3.03,0.48,2.86,0.73,1.79,99.37,4.41,5.87,2.23,3.63,281.31,6.55,9.03,4.55,4.48,282.06,2021-01-16
2021,1,17,2.28,3.14,0.5,2.15,-0.42,0.87,99.97,4.77,7.37,2.96,4.41,240.75,7.55,9.29,6.05,3.24,241.38,2021-01-17
2021,1,18,2.17,3.18,0.48,1.08,-1.63,-0.27,100.39,4.88,7.39,3.31,4.08,266.31,7.82,9.36,5.84,3.52,266.56,2021-01-18
2021,1,19,3.03,3.26,0.66,1.62,-2.27,-0.33,101.23,4.43,7.04,2.46,4.58,260.94,7.06,9.22,3.74,5.47,261.06,2021-01-19
2021,1,20,2.89,3.35,0.62,0.63,-3.65,-1.51,100.89,5.23,9.98,1.23,8.75,292.81,7.54,12.55,1.64,10.9,293.25,2021-01-20
2021,1,21,3.11,3.29,0.66,1.43,-1.94,-0.26,100.1,4.02,5.59,0.39,5.2,223.5,6.55,9.3,0.47,8.83,224.0,2021-01-21
2021,1,22,3.24,3.43,0.69,1.98,-1.44,0.27,100.23,4.84,6.54,3.66,2.88,287.62,8.07,8.9,6.77,2.13,287.88,2021-01-22
2021,1,23,3.5,3.61,0.73,-2.13,-7.03,-4.59,101.44,6.38,9.58,3.92,5.66,319.69,9.05,11.9,7.1,4.8,320.44,2021-01-23
2021,1,24,2.64,3.46,0.55,-1.46,-6.38,-3.92,101.62,3.2,5.89,0.38,5.51,287.06,4.13,7.53,0.51,7.02,287.19,2021-01-24
2021,1,25,0.9,3.17,0.19,0.13,-2.1,-0.99,101.07,2.77,4.28,1.48,2.81,112.88,4.06,5.61,2.38,3.23,113.19,2021-01-25
2021,1,26,1.55,3.32,0.31,0.25,-0.11,0.07,100.37,3.16,4.6,1.11,3.5,175.88,4.38,6.02,1.62,4.39,177.06,2021-01-26
2021,1,27,2.5,3.47,0.5,0.83,-1.33,-0.25,100.96,4.15,5.72,2.84,2.88,243.19,6.01,7.26,4.03,3.23,243.69,2021-01-27
2021,1,28,3.6,3.75,0.72,-1.76,-6.49,-4.13,101.42,8.57,11.11,4.65,6.46,307.0,11.27,13.72,6.88,6.84,307.75,2021-01-28
2021,1,29,2.92,3.82,0.58,-3.67,-8.39,-6.03,101.71,7.35,9.42,3.87,5.55,310.88,9.97,11.77,6.64,5.13,312.19,2021-01-29
2021,1,30,3.75,3.82,0.73,-2.95,-7.07,-5.02,101.88,2.92,4.21,1.02,3.2,277.62,4.43,7.07,1.41,5.66,278.12,2021-01-30
2021,1,31,0.75,3.5,0.15,-0.79,-2.12,-1.45,101.19,5.36,7.62,2.43,5.2,114.44,7.23,9.8,4.44,5.36,115.81,2021-01-31
2021,2,1,0.98,3.51,0.19,-1.02,-2.13,-1.57,99.89,7.68,8.18,6.99,1.19,211.94,9.78,10.88,8.79,2.09,184.62,2021-02-01
2021,2,2,1.95,3.75,0.37,-1.15,-2.93,-2.04,99.36,8.88,9.48,7.31,2.17,323.12,11.66,12.81,9.98,2.84,324.94,2021-02-02
2021,2,3,2.75,3.87,0.52,-0.74,-3.03,-1.88,99.76,7.48,9.54,6.18,3.37,308.0,10.61,12.13,9.58,2.55,309.44,2021-02-03
2021,2,4,3.86,4.04,0.72,-1.06,-4.43,-2.74,100.61,4.57,6.47,1.53,4.94,256.44,7.08,9.88,2.16,7.72,257.25,2021-02-04
2021,2,5,3.62,3.82,0.66,2.62,0.36,1.49,99.9,4.89,7.32,2.8,4.52,241.69,7.78,11.6,5.26,6.34,242.25,2021-02-05
2021,2,6,2.6,3.99,0.48,2.27,-1.62,0.33,100.93,3.91,6.74,1.95,4.79,223.31,6.27,9.33,2.95,6.38,223.75,2021-02-06
2021,2,7,1.76,3.81,0.32,0.18,-1.17,-0.49,100.74,4.29,7.09,1.27,5.83,222.94,6.66,10.98,1.87,9.11,223.56,2021-02-07
