YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2MDEW,T2MWET,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,DATE
2021,1,1,0.68,2.62,0.16,4.0,3.04,3.51,101.81,2.03,2.75,0.84,1.91,94.25,3.62,4.23,2.22,2.02,95.81,2021-01-01
2021,1,2,2.5,2.82,0.59,8.51,7.0,7.75,100.83,2.54,3.55,0.92,2.63,206.62,4.4,6.12,1.59,4.52,193.06,2021-01-02
2021,1,3,0.85,2.82,0.2,5.8,5.29,5.55,100.7,2.38,3.23,1.39,1.84,199.69,4.2,5.32,3.09,2.23,201.75,2021-01-03
2021,1,4,1.41,2.83,0.33,4.34,2.11,3.23,100.9,1.7,2.54,0.99,1.55,306.88,2.77,4.48,1.37,3.11,308.5,2021-01-04
2021,1,5,1.77,2.82,0.41,2.53,1.23,1.88,100.71,1.67,2.39,0.32,2.06,308.31,3.12,5.38,0.41,4.96,307.94,2021-01-05
2021,1,6,1.75,2.93,0.4,1.58,-0.31,0.64,101.36,2.84,4.44,1.91,2.52,324.69,5.56,6.82,4.04,2.78,325.69,2021-01-06
2021,1,7,3.01,3.11,0.69,2.01,-0.95,0.53,101.5,1.98,2.84,0.9,1.95,269.56,3.58,6.09,1.19,4.91,270.19,2021-01-07
2021,1,8,1.82,2.92,0.41,1.7,-0.7,0.5,100.84,2.2,2.91,1.16,1.75,98.88,4.08,5.44,2.2,3.25,99.88,2021-01-08
2021,1,9,3.27,3.24,0.73,0.48,-2.86,-1.2,100.9,3.19,4.49,2.38,2.11,331.44,5.98,7.17,4.66,2.51,333.0,2021-01-09
2021,1,10,3.26,3.23,0.73,2.37,-2.31,0.03,101.77,1.83,3.13,0.23,2.9,276.19,3.27,5.45,0.3,5.16,277.12,2021-01-10
2021,1,11,0.93,2.93,0.21,1.57,-0.01,0.78,101.83,1.89,2.45,1.0,1.45,203.56,3.59,5.82,1.38,4.45,204.06,2021-01-11
2021,1,12,3.14,3.12,0.7,3.33,-0.06,1.63,101.41,1.57,2.53,0.16,2.37,236.0,2.64,4.84,0.21,4.63,235.69,2021-01-12
2021,1,13,3.35,3.31,0.73,2.26,-0.32,0.98,101.0,1.85,2.78,0.53,2.25,247.62,3.88,6.89,0.52,6.37,249.19,2021-01-13
2021,1,14,3.06,3.27,0.66,3.7,0.74,2.22,100.36,1.84,2.55,0.63,1.91,238.25,3.38,5.51,1.02,4.49,238.94,2021-01-14
2021,1,15,2.31,3.21,0.5,4.19,3.52,3.86,100.12,2.48,4.1,1.77,2.33,177.88,4.61,6.33,2.66,3.67,178.81,2021-01-15
2021,1,16,1.43,3.18,0.3,2.95,1.75,2.35,99.66,2.41,3.51,1.3,2.2,270.25,4.09,6.75,1.63,5.12,271.69,2021-01-16
2021,1,17,2.94,3.27,0.62,2.32,-0.05,1.14,100.32,2.99,3.91,2.05,1.86,234.31,5.66,6.66,4.38,2.28,235.75,2021-01-17
2021,1,18,2.35,3.37,0.49,2.22,-0.48,0.87,100.67,3.12,5.04,2.1,2.94,265.06,5.88,7.69,3.72,3.97,265.94,2021-01-18
2021,1,19,3.26,3.36,0.68,2.72,0.53,1.62,101.5,2.71,4.31,2.12,2.19,256.75,5.23,6.62,3.47,3.16,257.69,2021-01-19
2021,1,20,3.39,3.48,0.7,3.02,-0.68,1.17,101.12,3.29,5.54,0.9,4.64,241.5,5.92,8.85,1.17,7.68,242.06,2021-01-20
2021,1,21,2.87,3.36,0.59,3.23,1.05,2.14,100.37,2.58,3.25,1.39,1.85,227.19,4.9,7.44,2.0,5.43,228.31,2021-01-21
2021,1,22,3.13,3.56,0.64,3.49,1.02,2.26,100.45,2.96,4.18,2.16,2.02,288.19,5.68,7.16,4.02,3.15,288.81,2021-01-22
2021,1,23,3.78,3.73,0.77,-1.81,-5.4,-3.6,101.57,3.04,5.17,2.1,3.07,310.69,5.8,7.51,4.4,3.11,310.75,2021-01-23
2021,1,24,3.1,3.57,0.62,-0.82,-5.24,-3.02,101.77,1.62,2.02,0.73,1.3,266.0,3.09,4.97,0.99,3.98,266.56,2021-01-24
2021,1,25,0.95,3.09,0.19,1.72,0.76,1.24,101.09,1.63,2.17,0.69,1.48,123.25,3.1,4.98,0.97,4.0,125.06,2021-01-25
2021,1,26,1.52,3.42,0.3,2.57,2.32,2.44,100.46,1.61,2.45,0.81,1.63,195.56,2.94,4.39,1.11,3.28,195.31,2021-01-26
2021,1,27,1.9,3.49,0.37,2.94,1.2,2.07,101.04,2.27,3.45,1.64,1.8,162.81,4.19,5.51,2.84,2.66,162.62,2021-01-27
2021,1,28,3.57,3.84,0.69,-1.12,-4.48,-2.8,101.54,4.65,6.91,2.05,4.86,319.94,7.7,10.34,4.12,6.23,321.38,2021-01-28
2021,1,29,3.92,3.92,0.75,-3.46,-7.77,-5.62,101.98,3.34,4.75,2.18,2.57,325.94,5.88,6.98,4.73,2.25,326.75,2021-01-29
2021,1,30,3.56,3.91,0.67,-1.31,-6.09,-3.7,102.04,1.73,2.81,0.39,2.43,274.25,3.08,5.41,0.56,4.84,274.75,2021-01-30
2021,1,31,0.49,3.6,0.09,-0.64,-1.3,-0.97,101.1,2.55,3.55,1.29,2.26,129.19,4.25,5.34,3.03,2.31,131.75,2021-01-31
2021,2,1,0.93,3.65,0.17,-1.22,-1.89,-1.56,99.95,4.06,4.84,3.41,1.44,331.94,6.38,7.05,4.99,2.05,334.19,2021-02-01
2021,2,2,1.96,3.77,0.36,-0.66,-2.08,-1.37,99.63,4.18,4.91,3.53,1.38,317.56,7.59,8.88,6.75,2.13,319.75,2021-02-02
2021,2,3,3.34,4.0,0.61,-0.17,-2.94,-1.55,100.11,4.05,4.92,2.66,2.26,303.5,7.52,8.3,5.62,2.67,305.69,2021-02-03
2021,2,4,4.15,4.22,0.75,0.57,-3.08,-1.25,100.86,2.3,2.77,1.34,1.43,253.81,4.52,6.97,1.86,5.11,255.06,2021-02-04
2021,2,5,2.91,3.84,0.52,3.8,2.33,3.06,100.16,2.98,4.12,2.26,1.87,227.31,5.73,7.48,5.08,2.41,228.88,2021-02-05
2021,2,6,3.74,4.16,0.66,3.64,-0.08,1.78,101.16,2.43,3.5,1.02,2.48,227.31,4.73,6.95,1.62,5.32,228.12,2021-02-06
2021,2,7,1.83,4.01,0.32,1.4,0.45,0.93,100.81,2.79,4.46,0.43,4.02,253.19,5.14,7.28,0.73,6.55,253.94,2021-02-07
2021,2,8,4.1,4.19,0.71,-1.27,-3.97,-2.62,102.05,2.08,2.75,1.35,1.4,108.31,3.89,6.16,1.9,4.27,110.31,2021-02-08
2021,2,9,3.01,3.97,0.52,3.73,2.79,3.26,101.48,1.7,2.89,0.51,2.38,168.12,2.98,5.8,0.68,5.11,169.06,2021-02-09
2021,2,10,1.77,3.96,0.3,3.16,1.34,2.25,101.78,1.98,2.49,1.47,1.02,71.75,3.45,4.8,1.91,2.89,73.12,2021-02-10
2021,2,11,0.6,3.65,0.1,1.8,1.12,1.47,101.41,2.54,3.86,0.25,3.62,67.44,3.84,5.45,0.41,5.04,69.12,2021-02-11
2021,2,12,1.04,3.96,0.17,-0.89,-2.39,-1.64,101.71,2.8,3.46,2.27,1.18,35.44,4.26,5.38,3.56,1.82,37.38,2021-02-12
2021,2,13,0.88,4.16,0.15,-1.42,-2.28,-1.85,101.41,3.16,4.03,2.21,1.82,103.94,4.73,5.74,3.85,1.9,106.06,2021-02-13
2021,2,14,1.51,4.11,0.25,-0.52,-1.06,-0.79,101.47,2.49,2.85,1.92,0.93,113.5,4.2,4.97,3.43,1.54,99.62,2021-02-14
2021,2,15,1.02,4.11,0.16,1.2,0.68,0.94,101.13,2.3,4.21,1.59,2.62,127.06,4.23,7.43,2.23,5.2,114.12,2021-02-15
2021,2,16,2.48,4.39,0.4,3.87,2.12,2.99,100.28,3.76,5.59,1.57,4.02,260.44,6.66,9.21,3.18,6.03,260.88,2021-02-16
2021,2,17,4.34,4.55,0.69,-1.33,-4.85,-3.09,102.01,2.36,3.65,1.44,2.21,68.31,4.15,6.02,1.78,4.23,68.12,2021-02-17
2021,2,18,0.97,4.15,0.15,-0.67,-1.65,-1.16,101.65,2.93,4.17,2.02,2.15,122.56,4.52,6.09,2.92,3.17,94.56,2021-02-18
2021,2,19,1.68,4.25,0.26,-0.9,-1.57,-1.24,101.23,2.95,3.89,1.92,1.98,318.0,5.28,6.73,3.73,3.0,319.0,2021-02-19
2021,2,20,4.64,4.88,0.72,-2.96,-5.77,-4.36,101.92,3.16,4.41,2.01,2.39,324.62,5.73,6.71,3.83,2.89,324.69,2021-02-20
2021,2,21,4.75,4.97,0.73,-2.11,-5.61,-3.86,102.69,2.01,2.69,0.88,1.8,189.94,3.71,5.86,0.99,4.86,190.0,2021-02-21
2021,2,22,1.16,4.66,0.17,0.16,-0.42,-0.13,101.11,3.45,5.5,2.3,3.19,213.12,6.2,9.52,4.09,5.45,214.06,2021-02-22
2021,2,23,4.95,4.91,0.74,4.48,2.8,3.64,100.49,3.42,5.88,2.33,3.54,265.12,6.75,9.34,3.7,5.64,266.25,2021-02-23
2021,2,24,4.92,5.04,0.73,8.31,5.52,6.91,100.96,2.62,3.77,0.38,3.38,225.25,4.95,8.25,0.48,7.77,225.69,2021-02-24
2021,2,25,4.79,4.98,0.7,7.65,3.48,5.56,101.39,2.8,4.34,1.32,3.02,184.5,5.34,7.73,2.16,5.57,184.19,2021-02-25
2021,2,26,1.55,4.65,0.23,4.01,2.2,3.11,102.1,2.32,3.33,1.41,1.92,75.19,3.84,4.86,2.32,2.54,76.62,2021-02-26
2021,2,27,1.6,4.55,0.23,7.15,6.55,6.85,101.46,2.24,4.7,0.95,3.76,213.06,3.91,6.81,1.63,5.18,215.06,2021-02-27
2021,2,28,0.95,4.4,0.13,11.55,11.06,11.3,101.16,2.17,2.84,1.23,1.6,151.5,4.34,5.7,2.8,2.9,153.56,2021-02-28
2021,3,1,1.11,4.72,0.16,11.88,10.05,10.97,100.41,3.32,5.29,1.71,3.58,275.38,6.24,8.33,3.54,4.79,276.62,2021-03-01
2021,3,2,5.15,5.57,0.72,3.0,-2.61,0.19,101.69,2.44,3.52,0.24,3.27,237.19,4.63,7.11,0.27,6.84,249.69,2021-03-02
