YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2MDEW,T2MWET,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,DATE
2021,1,1,0.45,2.42,0.11,-0.7,-1.96,-1.33,96.65,2.23,3.0,1.5,1.5,126.0,3.52,4.79,2.1,2.69,127.12,2021-01-01
2021,1,2,2.1,2.81,0.51,2.7,2.02,2.36,95.76,2.66,3.66,1.77,1.89,198.31,4.66,6.73,2.76,3.96,198.88,2021-01-02
2021,1,3,0.68,2.53,0.16,0.71,0.62,0.67,95.7,1.74,2.77,0.75,2.02,210.31,3.4,6.13,1.25,4.88,213.88,2021-01-03
2021,1,4,0.72,2.51,0.17,0.51,-1.43,-0.46,95.8,1.66,2.51,0.52,1.98,301.0,2.82,4.96,0.7,4.26,300.62,2021-01-04
2021,1,5,1.55,2.75,0.37,-0.55,-2.17,-1.36,95.62,1.7,2.59,0.66,1.94,317.31,2.95,5.48,0.87,4.62,316.19,2021-01-05
2021,1,6,1.89,2.9,0.45,-0.74,-2.61,-1.67,96.26,3.27,4.76,2.52,2.24,325.12,6.02,6.66,4.7,1.97,325.38,2021-01-06
2021,1,7,2.91,3.05,0.69,-0.24,-3.21,-1.73,96.36,2.26,3.61,0.88,2.73,235.12,3.85,6.3,1.36,4.94,250.25,2021-01-07
2021,1,8,1.32,2.95,0.31,-0.33,-2.81,-1.57,95.79,2.03,3.16,0.73,2.43,110.19,3.57,5.65,1.09,4.55,110.0,2021-01-08
2021,1,9,3.03,3.14,0.71,-1.09,-4.89,-2.99,95.91,4.2,5.75,3.19,2.56,329.75,6.86,7.75,5.73,2.02,330.94,2021-01-09
2021,1,10,3.16,3.14,0.73,0.04,-4.88,-2.42,96.64,2.6,4.22,0.64,3.59,225.88,3.98,7.46,0.88,6.58,226.25,2021-01-10
2021,1,11,0.91,2.93,0.21,-0.81,-2.78,-1.8,96.59,1.67,2.26,0.3,1.95,216.06,2.78,4.15,0.45,3.71,218.0,2021-01-11
2021,1,12,3.19,3.16,0.73,-0.81,-3.88,-2.35,96.26,1.85,2.44,0.95,1.48,282.94,3.12,4.49,1.63,2.86,283.69,2021-01-12
2021,1,13,3.0,3.09,0.68,0.64,-2.7,-1.03,95.83,1.98,2.55,1.36,1.2,242.38,3.2,4.24,1.87,2.38,244.88,2021-01-13
2021,1,14,2.83,3.15,0.64,1.92,-1.45,0.23,95.25,2.04,2.71,0.74,1.97,241.06,3.43,4.81,1.02,3.79,242.0,2021-01-14
2021,1,15,1.29,3.01,0.29,0.91,0.26,0.59,94.96,2.5,4.97,1.48,3.49,182.12,4.09,6.56,2.72,3.84,184.31,2021-01-15
2021,1,16,1.64,3.13,0.37,-1.2,-2.85,-2.02,94.55,2.41,3.55,1.69,1.87,292.5,4.64,7.23,2.48,4.77,293.19,2021-01-16
2021,1,17,1.78,3.11,0.39,-0.0,-2.63,-1.31,95.05,2.91,4.39,1.98,2.41,248.44,5.57,6.52,4.0,2.52,250.19,2021-01-17
2021,1,18,1.57,3.25,0.34,-1.49,-4.52,-3.01,95.46,3.1,5.27,2.08,3.2,270.06,5.71,7.38,4.01,3.37,270.69,2021-01-18
2021,1,19,2.77,3.29,0.6,-0.67,-3.86,-2.27,96.24,3.07,5.28,2.23,3.05,267.06,5.48,7.47,4.13,3.33,268.12,2021-01-19
2021,1,20,2.85,3.42,0.61,-0.96,-4.85,-2.9,95.94,3.95,7.12,1.09,6.03,281.06,6.68,10.98,1.77,9.22,281.06,2021-01-20
2021,1,21,3.26,3.35,0.7,-0.44,-3.27,-1.85,95.17,3.13,4.36,1.91,2.45,254.5,5.83,8.61,3.59,5.02,256.19,2021-01-21
2021,1,22,3.33,3.46,0.7,0.11,-3.9,-1.89,95.32,3.84,5.28,2.76,2.53,298.31,7.35,8.91,6.1,2.81,297.81,2021-01-22
2021,1,23,3.62,3.66,0.76,-4.92,-9.67,-7.3,96.38,3.9,6.22,2.09,4.13,323.25,6.48,8.69,4.07,4.62,322.94,2021-01-23
2021,1,24,2.21,3.43,0.46,-3.62,-7.18,-5.4,96.44,1.75,2.37,0.18,2.19,227.69,3.19,4.51,0.16,4.35,231.31,2021-01-24
2021,1,25,0.7,3.06,0.15,-0.42,-1.1,-0.76,95.87,1.87,2.77,0.38,2.39,139.56,2.77,3.85,0.63,3.22,140.44,2021-01-25
2021,1,26,1.77,3.32,0.36,-0.01,-0.16,-0.09,95.29,2.66,3.56,1.74,1.82,209.19,4.4,7.23,2.49,4.73,211.31,2021-01-26
2021,1,27,2.35,3.5,0.48,-1.01,-2.76,-1.88,95.94,2.55,3.7,1.41,2.28,226.56,4.27,6.0,2.56,3.44,225.94,2021-01-27
2021,1,28,3.61,3.79,0.72,-4.85,-8.98,-6.92,96.45,6.15,7.87,4.03,3.84,303.94,9.16,10.93,6.11,4.82,303.75,2021-01-28
2021,1,29,3.8,3.84,0.75,-7.44,-11.58,-9.51,96.66,4.2,5.34,2.06,3.28,321.44,6.67,8.58,3.7,4.87,321.31,2021-01-29
2021,1,30,3.49,3.82,0.68,-5.21,-9.17,-7.19,96.7,1.85,2.36,0.59,1.77,210.56,3.2,4.73,0.46,4.27,211.06,2021-01-30
2021,1,31,0.72,3.58,0.14,-3.32,-4.35,-3.84,95.9,3.14,5.0,1.32,3.68,119.62,4.41,6.53,2.84,3.69,121.62,2021-01-31
2021,2,1,1.6,3.65,0.3,-2.7,-4.32,-3.51,95.03,4.18,5.02,2.94,2.09,320.44,5.98,7.49,4.23,3.25,320.56,2021-02-01
2021,2,2,1.78,3.83,0.34,-2.93,-5.56,-4.24,94.68,7.0,8.54,4.57,3.96,321.62,10.29,12.03,7.59,4.44,322.62,2021-02-02
2021,2,3,3.46,4.0,0.65,-3.73,-6.74,-5.23,95.05,6.85,8.01,5.41,2.6,313.06,10.27,11.36,8.83,2.53,314.12,2021-02-03
2021,2,4,3.68,4.04,0.69,-2.2,-6.1,-4.15,95.6,3.12,5.12,0.88,4.23,246.19,5.55,8.37,1.16,7.2,247.19,2021-02-04
