Date,GHI,Temperature,Cloud Type,Dew Point,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,net_gen_electric_power
2019-01,211.4,2.1,3.5,-1.8,0.3,76.4,69.3,0.2,1012.9,1.0,225.3,3.7,54.0
2019-02,293.5,4.5,4.1,0.6,0.3,77.1,62.4,0.2,1014.9,1.4,188.9,3.1,51.0
2019-03,423.8,8.1,3.3,2.3,0.3,68.3,53.0,0.1,1014.0,1.2,196.5,3.5,83.0
2019-04,501.6,17.7,3.7,10.7,0.3,64.9,43.6,0.1,1009.2,2.1,214.2,3.5,94.0
2019-05,543.9,23.0,2.8,16.9,0.3,69.3,36.7,0.1,1007.9,3.2,212.0,2.7,105.0
2019-06,628.8,25.9,2.8,18.4,0.3,64.2,33.9,0.1,1007.5,3.3,225.7,2.8,93.0
2019-07,644.7,30.5,1.6,20.2,0.3,55.7,35.3,0.1,1008.5,4.0,216.4,2.0,102.0
2019-08,560.8,30.3,2.3,17.4,0.3,47.5,40.8,0.1,1008.1,3.6,187.9,2.1,90.0
2019-09,498.3,28.5,2.0,14.5,0.3,43.8,49.3,0.1,1011.8,3.1,178.0,2.4,88.0
2019-10,331.7,20.9,2.4,9.6,0.3,51.7,59.0,0.1,1010.8,2.4,169.2,3.2,70.0
2019-11,260.2,8.9,2.9,-0.1,0.3,55.3,67.3,0.1,1012.6,1.2,233.5,3.1,62.0
2019-12,188.5,5.8,3.5,1.3,0.3,74.6,71.2,0.1,1011.9,1.4,201.6,2.8,58.0
2020-01,216.1,5.7,3.4,0.3,0.3,69.6,69.3,0.1,1014.6,1.1,231.5,3.3,66.0
2020-02,268.5,7.4,3.8,1.0,0.3,65.8,62.5,0.1,1011.2,1.4,211.3,3.2,70.0
2020-03,383.7,12.9,3.7,5.5,0.3,63.1,52.8,0.1,1013.3,1.6,195.0,3.3,98.0
2020-04,466.0,14.7,3.0,6.3,0.4,59.0,43.4,0.1,1005.4,1.7,232.6,4.2,126.0
2020-05,547.6,19.5,3.2,11.5,0.3,61.2,36.6,0.1,1011.1,2.4,201.7,3.5,135.0
2020-06,640.2,27.1,2.7,17.0,0.3,55.3,33.8,0.1,1009.4,3.4,205.6,2.6,152.0
2020-07,666.6,32.4,1.6,19.2,0.3,47.1,35.4,0.1,1007.6,3.9,207.6,2.1,172.0
2020-08,532.2,28.0,2.7,21.2,0.3,67.5,41.0,0.1,1007.9,4.2,189.4,2.3,122.0
2020-09,448.6,23.3,2.3,15.9,0.3,64.9,49.6,0.1,1012.2,3.0,165.8,2.4,109.0
2020-10,354.4,18.3,2.4,11.7,0.3,67.2,59.3,0.1,1012.5,2.3,219.1,2.6,116.0
2020-11,284.5,13.5,1.9,7.7,0.3,69.4,67.4,0.1,1015.0,1.6,225.3,3.1,111.0
