Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4589294,-,b'Virginia',b'United States',38.9,-77.09,-5,54,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,0,0,11.8,0,0,0,6,11.700000000000001,0,0,0,0.224,99.21000000000001,163.93,0.07,1003,3.9000000000000004,206,4.5
2019,1,1,1,0,0,12.600000000000001,0,0,0,6,12.600000000000001,0,0,0,0.224,99.72,161.08,0.07,1001,3.8000000000000003,206,4.7
2019,1,1,2,0,0,13.200000000000001,0,0,0,7,13.200000000000001,0,0,0,0.226,99.96000000000001,152.05,0.07,1001,3.3000000000000003,217,4.7
2019,1,1,3,0,0,13.600000000000001,0,0,0,7,13.600000000000001,0,0,0,0.227,99.85000000000001,141.01,0.07,1001,2.7,228,4.5
2019,1,1,4,0,0,13.9,0,0,0,8,13.9,0,0,0,0.229,99.95,129.42000000000002,0.07,1001,2.2,234,4.4
2019,1,1,5,0,0,14.3,0,0,0,6,14.100000000000001,0,0,0,0.231,98.44,117.78,0.07,1002,1.8,244,4.5
2019,1,1,6,0,0,14.4,0,0,0,7,13.5,0,0,0,0.234,94.36,106.39,0.07,1003,1.6,264,5.2
2019,1,1,7,0,0,13.4,0,0,0,7,11.9,0,0,0,0.23500000000000001,90.9,95.5,0.07,1005,1.4000000000000001,276,5.300000000000001
2019,1,1,8,0,19,12.600000000000001,28,358,58,7,10.600000000000001,0,7,19,0.23600000000000002,87.4,85.22,0.07,1006,1.3,282,5.300000000000001
2019,1,1,9,0,66,12.3,55,653,209,7,9.700000000000001,0,7,66,0.23800000000000002,84.06,76.37,0.07,1008,1.3,288,5.2
2019,1,1,10,0,54,12,69,780,347,6,8.9,0,0,54,0.241,81.25,69.11,0.07,1009,1.2000000000000002,295,5.300000000000001
2019,1,1,11,0,170,11.4,76,839,443,6,7.9,27,0,182,0.243,79.14,64.1,0.07,1009,1.1,302,5.300000000000001
2019,1,1,12,0,178,11.200000000000001,78,867,486,6,7.300000000000001,19,0,187,0.247,77.11,61.910000000000004,0.07,1009,1,305,5.1000000000000005
2019,1,1,13,0,176,11.700000000000001,75,865,469,6,7.2,24,0,187,0.249,73.73,62.86,0.07,1010,1,310,5
2019,1,1,14,0,164,11.8,70,822,394,6,6.9,67,0,190,0.248,72.16,66.81,0.07,1010,1,315,4.7
2019,1,1,15,0,115,11,60,729,270,6,6.800000000000001,68,0,134,0.249,75.49,73.25,0.07,1012,1,319,4
2019,1,1,16,0,42,9,41,519,117,6,6.4,0,7,42,0.251,83.59,81.55,0.07,1013,1.1,323,2.9000000000000004
2019,1,1,17,0,0,7.4,0,0,0,7,5.5,0,0,0,0.254,87.52,91.35000000000001,0.07,1014,1.1,326,2.8000000000000003
2019,1,1,18,0,0,6.800000000000001,0,0,0,7,5,0,0,0,0.255,88.47,101.97,0.07,1016,1.1,327,2.6
2019,1,1,19,0,0,5.800000000000001,0,0,0,7,4.4,0,0,0,0.257,90.77,113.19,0.06,1016,1.1,327,2
2019,1,1,20,0,0,4.800000000000001,0,0,0,7,3.7,0,0,0,0.259,92.71000000000001,124.76,0.06,1017,1,326,1.7000000000000002
2019,1,1,21,0,0,4.3,0,0,0,7,3.3000000000000003,0,0,0,0.261,93.26,136.41,0.06,1017,1,328,1.5
2019,1,1,22,0,0,4,0,0,0,7,3,0,0,0,0.264,93.12,147.75,0.06,1016,0.9,331,1.4000000000000001
2019,1,1,23,0,0,3.6,0,0,0,7,2.7,0,0,0,0.268,93.79,157.86,0.06,1016,0.9,336,1.4000000000000001
2019,1,2,0,0,0,3.3000000000000003,0,0,0,7,2.4000000000000004,0,0,0,0.27,94.01,163.83,0.06,1016,0.9,341,1.3
2019,1,2,1,0,0,3.1,0,0,0,7,2.2,0,0,0,0.272,94.06,161.06,0.06,1017,0.9,348,1.2000000000000002
2019,1,2,2,0,0,2.9000000000000004,0,0,0,7,2.1,0,0,0,0.272,94.28,152.07,0.06,1017,0.9,356,1.2000000000000002
2019,1,2,3,0,0,2.7,0,0,0,7,1.9000000000000001,0,0,0,0.271,94.60000000000001,141.05,0.06,1017,0.9,1,1.2000000000000002
2019,1,2,4,0,0,2.5,0,0,0,7,1.8,0,0,0,0.271,94.8,129.46,0.06,1017,1,5,1.2000000000000002
2019,1,2,5,0,0,2.5,0,0,0,7,1.7000000000000002,0,0,0,0.27,94.23,117.83,0.06,1018,1,12,1.1
2019,1,2,6,0,0,2.7,0,0,0,1,1.6,0,0,0,0.269,92.69,106.43,0.06,1019,1,22,1.1
2019,1,2,7,0,0,2.9000000000000004,0,0,0,7,1.7000000000000002,0,0,0,0.268,91.63,95.53,0.06,1020,1.1,44,1.1
2019,1,2,8,0,20,3.7,31,278,54,7,2.5,0,7,20,0.268,92.18,85.23,0.06,1020,1.1,64,0.9
2019,1,2,9,0,78,5.2,66,574,201,7,3.5,0,7,78,0.268,89,76.37,0.06,1021,1.1,94,1.2000000000000002
2019,1,2,10,0,85,5.9,84,706,336,7,3.6,0,0,85,0.267,85.33,69.08,0.06,1020,1.2000000000000002,107,1.5
2019,1,2,11,0,60,6.6000000000000005,94,768,430,7,4,0,0,60,0.267,83.28,64.04,0.06,1019,1.2000000000000002,128,1.6
2019,1,2,12,0,92,7.2,98,790,471,7,3.8000000000000003,0,0,92,0.266,79.10000000000001,61.83,0.06,1018,1.2000000000000002,148,1.8
2019,1,2,13,0,118,7.300000000000001,98,779,454,6,3.6,0,0,118,0.266,77.3,62.76,0.06,1017,1.2000000000000002,150,1.9000000000000001
2019,1,2,14,0,22,7.2,92,730,381,4,3.6,0,0,22,0.265,78.15,66.68,0.06,1017,1.2000000000000002,144,2
2019,1,2,15,0,33,6.7,79,616,258,6,4.1000000000000005,0,0,33,0.264,83.51,73.12,0.06,1016,1.3,145,1.9000000000000001
2019,1,2,16,0,17,5.4,51,394,110,6,4,0,7,17,0.264,90.78,81.41,0.06,1016,1.4000000000000001,143,1.5
2019,1,2,17,0,0,4.800000000000001,0,0,0,6,3.6,0,0,0,0.267,92.09,91.21000000000001,0.06,1016,1.5,140,1.6
2019,1,2,18,0,0,4.800000000000001,0,0,0,6,3.6,0,0,0,0.268,91.9,101.83,0.06,1016,1.6,142,2
2019,1,2,19,0,0,4.7,0,0,0,6,3.6,0,0,0,0.269,92.69,113.05,0.07,1015,1.7000000000000002,146,2.3000000000000003
2019,1,2,20,0,0,4.6000000000000005,0,0,0,6,3.7,0,0,0,0.27,93.93,124.62,0.07,1014,1.8,148,2.4000000000000004
2019,1,2,21,0,0,4.4,0,0,0,6,3.8000000000000003,0,0,0,0.271,95.8,136.27,0.07,1012,1.9000000000000001,151,2.1
2019,1,2,22,0,0,4.1000000000000005,0,0,0,6,3.9000000000000004,0,0,0,0.273,98.27,147.61,0.07,1011,1.9000000000000001,154,1.8
2019,1,2,23,0,0,4,0,0,0,7,4,0,0,0,0.275,99.66,157.72,0.07,1010,1.9000000000000001,168,1.6
2019,1,3,0,0,0,4.2,0,0,0,7,4.2,0,0,0,0.276,99.78,163.72,0.07,1010,2,187,1.6
2019,1,3,1,0,0,4.3,0,0,0,8,4.3,0,0,0,0.276,99.83,161.04,0.07,1009,2.1,203,1.8
2019,1,3,2,0,0,4.5,0,0,0,7,4.4,0,0,0,0.278,98.97,152.09,0.07,1009,2.3000000000000003,213,2.2
2019,1,3,3,0,0,4.6000000000000005,0,0,0,6,4.3,0,0,0,0.281,98.25,141.09,0.07,1008,2.3000000000000003,229,2.6
2019,1,3,4,0,0,4.7,0,0,0,8,4.4,0,0,0,0.28400000000000003,97.75,129.5,0.07,1008,2.2,248,2.7
