Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2022,1,1,0,0,0,10.5,0,0,0,8,10.200000000000001,0,0,0,0.289,98.03,163.91,0.07,1004,3.1,170,2.3000000000000003
2022,1,1,1,0,0,10.4,0,0,0,7,10.200000000000001,0,0,0,0.28800000000000003,98.88,161.08,0.07,1004,3,181,2.5
2022,1,1,2,0,0,9.9,0,0,0,4,9.9,0,0,0,0.28600000000000003,100,152.05,0.07,1004,3,187,1.9000000000000001
2022,1,1,3,0,0,9.9,0,0,0,7,9.9,0,0,0,0.28300000000000003,100,141.02,0.07,1004,3.1,198,1.8
2022,1,1,4,0,0,10.4,0,0,0,7,10.200000000000001,0,0,0,0.278,98.68,129.42000000000002,0.07,1004,3.2,227,2.4000000000000004
2022,1,1,5,0,0,10.5,0,0,0,7,10.4,0,0,0,0.275,99.10000000000001,117.79,0.07,1004,3.3000000000000003,240,2
2022,1,1,6,0,0,10.3,0,0,0,6,10.3,0,0,0,0.273,100,106.4,0.07,1004,3.3000000000000003,238,1.3
2022,1,1,7,0,0,10.200000000000001,0,0,0,6,10.200000000000001,0,0,0,0.271,100,95.5,0.07,1003,3.4000000000000004,213,1
2022,1,1,8,0,9,11,30,232,49,6,10.8,0,7,9,0.269,98.66,85.22,0.07,1003,3.5,195,1.4000000000000001
2022,1,1,9,0,11,11.600000000000001,70,476,182,6,11.200000000000001,0,0,11,0.267,97.29,76.37,0.07,1003,3.6,187,1.8
2022,1,1,10,0,49,12.3,96,591,306,6,11.700000000000001,0,0,49,0.267,95.97,69.11,0.07,1002,3.6,156,2.2
2022,1,1,11,0,48,13.3,89,719,403,7,12.4,0,0,48,0.267,94.52,64.09,0.07,1001,3.8000000000000003,142,2.2
