YEAR,MO,DY,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M
2021,1,1,101.79,3.56,5.23,1.53,3.71,89.69,5.63,7.25,2.84,4.41,91.75,0.47,2.49,2.4
2021,1,2,100.68,4.41,6.74,2.9,3.84,223.38,6.85,9.28,5.45,3.84,223.81,2.2,2.76,2.9
2021,1,3,100.69,3.97,4.94,2.7,2.24,175.56,5.96,8.43,3.6,4.83,176.69,0.47,2.65,2.72
2021,1,4,100.74,3.02,4.76,1.48,3.28,335.19,4.65,8.35,2.23,6.12,335.62,1.31,2.53,1.96
2021,1,5,100.56,2.1,4.09,1.13,2.95,329.69,3.49,7.49,1.26,6.23,329.69,1.03,2.53,1.29
2021,1,6,101.16,5.52,7.53,4.32,3.21,325.12,8.54,9.42,7.78,1.64,326.19,1.42,2.87,3.78
2021,1,7,101.35,4.14,5.81,2.7,3.11,278.81,6.55,8.4,4.85,3.55,279.44,3.0,3.02,2.7
2021,1,8,100.81,3.6,5.17,2.22,2.95,277.44,5.54,7.84,3.13,4.71,278.25,1.4,2.94,2.48
2021,1,9,100.76,6.16,8.01,5.04,2.97,334.31,9.09,10.53,7.96,2.56,335.62,3.08,3.12,4.27
2021,1,10,101.6,3.7,5.83,1.84,3.99,299.12,5.73,8.55,2.66,5.9,299.69,3.13,3.09,2.38
2021,1,11,101.64,2.46,3.47,1.55,1.93,170.56,4.12,6.41,2.19,4.22,170.62,0.94,2.85,1.45
2021,1,12,101.3,2.56,3.98,0.48,3.5,275.38,3.98,6.21,0.62,5.59,275.38,3.12,3.08,1.62
2021,1,13,100.87,2.82,3.47,1.53,1.93,240.44,4.49,6.08,2.11,3.97,241.19,3.0,3.02,1.56
2021,1,14,100.2,1.99,3.1,0.45,2.66,244.31,3.02,5.55,0.69,4.86,244.69,2.99,3.04,1.16
2021,1,15,100.07,4.32,7.06,2.41,4.65,132.5,6.86,9.23,5.16,4.07,133.5,1.86,3.0,2.81
2021,1,16,99.37,4.41,5.87,2.23,3.63,281.31,6.55,9.03,4.55,4.48,282.06,2.14,3.03,3.05
2021,1,17,99.97,4.77,7.37,2.96,4.41,240.75,7.55,9.29,6.05,3.24,241.38,2.28,3.14,3.2
2021,1,18,100.39,4.88,7.39,3.31,4.08,266.31,7.82,9.36,5.84,3.52,266.56,2.17,3.18,3.28
2021,1,19,101.23,4.43,7.04,2.46,4.58,260.94,7.06,9.22,3.74,5.47,261.06,3.03,3.26,2.82
2021,1,20,100.89,5.23,9.98,1.23,8.75,292.81,7.54,12.55,1.64,10.9,293.25,2.89,3.35,3.49
2021,1,21,100.1,4.02,5.59,0.39,5.2,223.5,6.55,9.3,0.47,8.83,224.0,3.11,3.29,2.58
2021,1,22,100.23,4.84,6.54,3.66,2.88,287.62,8.07,8.9,6.77,2.13,287.88,3.24,3.43,3.2
