-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2024 
Location: Latitude  37.5295   Longitude -77.4235 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 60.8 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
2021,1,1,0.68,2.62,0.16,312.37,13.16,49.02,1.96,0.03,0.14,4.0,3.04,3.51,4.0,2.27,5.03,2.76
2021,1,2,2.5,2.82,0.59,306.83,44.61,50.57,5.45,0.08,0.38,8.51,7.0,7.75,8.03,10.3,14.82,4.51
2021,1,3,0.85,2.82,0.2,320.11,16.28,52.02,2.29,0.03,0.16,5.8,5.29,5.55,5.72,5.45,7.76,2.31
2021,1,4,1.41,2.83,0.33,301.93,25.85,50.29,3.48,0.04,0.2,4.34,2.11,3.23,3.81,8.03,8.94,0.9
2021,1,5,1.77,2.82,0.41,293.25,31.47,49.09,4.07,0.05,0.22,2.53,1.23,1.88,1.83,8.34,7.63,-0.71
2021,1,6,1.75,2.93,0.4,277.53,30.92,50.91,4.02,0.04,0.21,1.58,-0.31,0.64,1.37,8.09,6.62,-1.45
2021,1,7,3.01,3.11,0.69,245.7,52.59,54.98,6.07,0.06,0.32,2.01,-0.95,0.53,1.2,10.2,7.15,-3.04
2021,1,8,1.82,2.92,0.41,282.98,32.69,51.81,4.16,0.05,0.22,1.7,-0.7,0.5,1.66,6.91,5.9,-1.02
2021,1,9,3.27,3.24,0.73,230.83,56.57,56.82,6.43,0.07,0.35,0.48,-2.86,-1.2,0.29,8.34,5.55,-2.8
2021,1,10,3.26,3.23,0.73,228.54,56.36,56.45,6.41,0.07,0.35,2.37,-2.31,0.03,0.27,11.15,7.97,-3.17
2021,1,11,0.93,2.93,0.21,283.13,17.83,51.97,2.55,0.03,0.14,1.57,-0.01,0.78,0.55,7.59,5.83,-1.76
2021,1,12,3.14,3.12,0.7,253.26,55.73,56.15,6.35,0.06,0.32,3.33,-0.06,1.63,2.18,11.07,9.65,-1.42
2021,1,13,3.35,3.31,0.73,225.95,56.88,56.86,6.45,0.07,0.34,2.26,-0.32,0.98,1.9,13.45,10.47,-2.98
2021,1,14,3.06,3.27,0.66,245.3,52.09,56.02,6.1,0.05,0.29,3.7,0.74,2.22,3.21,11.98,11.56,-0.42
2021,1,15,2.31,3.21,0.5,282.57,41.3,57.59,5.08,0.05,0.25,4.19,3.52,3.86,3.82,12.51,10.93,-1.57
2021,1,16,1.43,3.18,0.3,289.63,26.28,56.27,3.62,0.04,0.18,2.95,1.75,2.35,2.91,6.2,5.32,-0.88
2021,1,17,2.94,3.27,0.62,262.09,51.98,58.18,6.13,0.05,0.27,2.32,-0.05,1.14,2.15,10.42,8.55,-1.86
2021,1,18,2.35,3.37,0.49,272.77,41.65,59.54,5.27,0.05,0.28,2.22,-0.48,0.87,1.99,8.26,6.8,-1.45
2021,1,19,3.26,3.36,0.68,247.64,57.73,60.07,6.73,0.06,0.34,2.72,0.53,1.62,2.32,13.28,10.5,-2.78
