YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
2021,1,1,0.68,2.62,0.69,101.81,2.03,2.75,0.84,1.91,94.25,3.62,4.23,2.22,2.02,95.81
2021,1,2,2.5,2.82,0.91,100.83,2.54,3.55,0.92,2.63,206.62,4.4,6.12,1.59,4.52,193.06
2021,1,3,0.85,2.82,0.79,100.7,2.38,3.23,1.39,1.84,199.69,4.2,5.32,3.09,2.23,201.75
2021,1,4,1.41,2.83,0.66,100.9,1.7,2.54,0.99,1.55,306.88,2.77,4.48,1.37,3.11,308.5
2021,1,5,1.77,2.82,0.62,100.71,1.67,2.39,0.32,2.06,308.31,3.12,5.38,0.41,4.96,307.94
2021,1,6,1.75,2.93,0.88,101.36,2.84,4.44,1.91,2.52,324.69,5.56,6.82,4.04,2.78,325.69
2021,1,7,3.01,3.11,0.74,101.5,1.98,2.84,0.9,1.95,269.56,3.58,6.09,1.19,4.91,270.19
2021,1,8,1.82,2.92,0.73,100.84,2.2,2.91,1.16,1.75,98.88,4.08,5.44,2.2,3.25,99.88
2021,1,9,3.27,3.24,1.02,100.9,3.19,4.49,2.38,2.11,331.44,5.98,7.17,4.66,2.51,333.0
2021,1,10,3.26,3.23,0.7,101.77,1.83,3.13,0.23,2.9,276.19,3.27,5.45,0.3,5.16,277.12
2021,1,11,0.93,2.93,0.66,101.83,1.89,2.45,1.0,1.45,203.56,3.59,5.82,1.38,4.45,204.06
2021,1,12,3.14,3.12,0.62,101.41,1.57,2.53,0.16,2.37,236.0,2.64,4.84,0.21,4.63,235.69
2021,1,13,3.35,3.31,0.58,101.0,1.85,2.78,0.53,2.25,247.62,3.88,6.89,0.52,6.37,249.19
2021,1,14,3.06,3.27,0.62,100.36,1.84,2.55,0.63,1.91,238.25,3.38,5.51,1.02,4.49,238.94
2021,1,15,2.31,3.21,0.88,100.12,2.48,4.1,1.77,2.33,177.88,4.61,6.33,2.66,3.67,178.81
2021,1,16,1.43,3.18,0.86,99.66,2.41,3.51,1.3,2.2,270.25,4.09,6.75,1.63,5.12,271.69
2021,1,17,2.94,3.27,0.97,100.32,2.99,3.91,2.05,1.86,234.31,5.66,6.66,4.38,2.28,235.75
2021,1,18,2.35,3.37,1.03,100.67,3.12,5.04,2.1,2.94,265.06,5.88,7.69,3.72,3.97,265.94
2021,1,19,3.26,3.36,0.94,101.5,2.71,4.31,2.12,2.19,256.75,5.23,6.62,3.47,3.16,257.69
2021,1,20,3.39,3.48,1.21,101.12,3.29,5.54,0.9,4.64,241.5,5.92,8.85,1.17,7.68,242.06
2021,1,21,2.87,3.36,0.89,100.37,2.58,3.25,1.39,1.85,227.19,4.9,7.44,2.0,5.43,228.31
2021,1,22,3.13,3.56,0.96,100.45,2.96,4.18,2.16,2.02,288.19,5.68,7.16,4.02,3.15,288.81
2021,1,23,3.78,3.73,1.08,101.57,3.04,5.17,2.1,3.07,310.69,5.8,7.51,4.4,3.11,310.75
2021,1,24,3.1,3.57,0.59,101.77,1.62,2.02,0.73,1.3,266.0,3.09,4.97,0.99,3.98,266.56
2021,1,25,0.95,3.09,0.57,101.09,1.63,2.17,0.69,1.48,123.25,3.1,4.98,0.97,4.0,125.06
