-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2021 through 03/31/2024 
Location: Latitude  38.4926   Longitude -78.5498 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 484.88 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M                     MERRA-2 Temperature at 2 Meters (C) 
T2MDEW                  MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET                  MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS                      MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE               MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX                 MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN                 MERRA-2 Temperature at 2 Meters Minimum (C) 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2021,1,1,-0.7,-1.96,-1.33,-0.65,1.36,0.19,-1.17,0.45,2.42,0.11,298.48,8.57,44.27,1.29,0.02,0.09
2021,1,2,2.7,2.02,2.36,1.61,7.7,7.22,-0.49,2.1,2.81,0.51,287.91,37.98,50.38,4.88,0.07,0.34
2021,1,3,0.71,0.62,0.67,0.06,6.71,4.35,-2.37,0.68,2.53,0.16,314.3,12.95,44.64,1.89,0.02,0.12
2021,1,4,0.51,-1.43,-0.46,-0.82,7.41,4.54,-2.87,0.72,2.51,0.17,303.56,13.8,43.36,2.0,0.02,0.11
2021,1,5,-0.55,-2.17,-1.36,-1.74,6.64,3.46,-3.19,1.55,2.75,0.37,295.5,27.9,48.01,3.7,0.04,0.19
2021,1,6,-0.74,-2.61,-1.67,-1.07,7.15,3.98,-3.17,1.89,2.9,0.45,295.1,33.3,50.55,4.27,0.04,0.19
2021,1,7,-0.24,-3.21,-1.73,-0.95,7.97,4.33,-3.64,2.91,3.05,0.69,244.16,50.54,53.27,5.9,0.05,0.29
2021,1,8,-0.33,-2.81,-1.57,-0.42,5.88,3.64,-2.24,1.32,2.95,0.31,290.21,24.98,52.49,3.5,0.04,0.2
2021,1,9,-1.09,-4.89,-2.99,-1.28,7.62,3.87,-3.75,3.03,3.14,0.71,229.87,52.62,54.9,6.14,0.06,0.33
2021,1,10,0.04,-4.88,-2.42,-1.3,10.05,5.55,-4.51,3.16,3.14,0.73,222.34,54.62,54.95,6.26,0.06,0.31
2021,1,11,-0.81,-2.78,-1.8,-2.2,6.55,2.44,-4.12,0.91,2.93,0.21,262.89,17.49,52.42,2.57,0.02,0.13
2021,1,12,-0.81,-3.88,-2.35,-2.14,13.73,7.15,-6.58,3.19,3.16,0.73,224.94,54.74,54.82,6.3,0.05,0.3
2021,1,13,0.64,-2.7,-1.03,-0.57,12.38,8.14,-4.24,3.0,3.09,0.68,232.52,51.8,54.02,6.02,0.05,0.29
2021,1,14,1.92,-1.45,0.23,0.7,9.88,8.48,-1.4,2.83,3.15,0.64,247.51,48.67,54.32,5.84,0.05,0.27
