Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4546002,-,b'Virginia',b'United States',37.54,-77.43,-5,34,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,0,0,13.600000000000001,0,0,0,6,13.600000000000001,0,0,0,0.228,100,165.22,0.12,1008,3.9000000000000004,193,0.7000000000000001
2019,1,1,1,0,0,13.9,0,0,0,7,13.9,0,0,0,0.227,100,162.32,0.12,1007,3.9000000000000004,195,0.8
2019,1,1,2,0,0,14.3,0,0,0,6,14.3,0,0,0,0.226,100,152.88,0.12,1007,4,201,0.9
2019,1,1,3,0,0,14.700000000000001,0,0,0,7,14.700000000000001,0,0,0,0.224,100,141.52,0.12,1006,4,209,0.9
2019,1,1,4,0,0,14.8,0,0,0,7,14.8,0,0,0,0.224,100,129.69,0.12,1006,3.5,213,0.8
2019,1,1,5,0,0,14.8,0,0,0,8,14.8,0,0,0,0.225,100,117.85000000000001,0.12,1006,2.9000000000000004,222,0.7000000000000001
2019,1,1,6,0,0,14.9,0,0,0,7,14.9,0,0,0,0.225,100,106.26,0.12,1007,2.5,234,0.8
2019,1,1,7,0,0,15.3,0,0,0,4,15.3,0,0,0,0.224,100,95.16,0.12,1008,2.3000000000000003,251,0.8
2019,1,1,8,0,11,15.700000000000001,36,239,58,4,15.4,0,7,11,0.223,98.36,84.68,0.12,1010,2.2,269,1
2019,1,1,9,0,9,16.1,85,462,200,4,14.600000000000001,0,0,9,0.223,90.79,75.60000000000001,0.12,1011,2.2,284,1.3
2019,1,1,10,0,15,15.8,106,620,337,7,12.700000000000001,0,0,15,0.224,81.83,68.12,0.12,1012,2.1,293,1.4000000000000001
2019,1,1,11,0,71,15.700000000000001,98,764,446,7,11.700000000000001,0,0,71,0.226,77.03,62.9,0.12,1012,1.8,296,1.5
2019,1,1,12,0,151,15.5,87,840,500,7,11.200000000000001,0,0,151,0.229,75.67,60.57,0.12,1012,1.5,299,1.3
2019,1,1,13,0,183,15.3,79,856,488,7,11.200000000000001,22,0,193,0.232,76.62,61.480000000000004,0.12,1012,1.4000000000000001,304,1
2019,1,1,14,0,120,15.600000000000001,71,837,418,6,10.9,0,0,120,0.23600000000000002,73.52,65.48,0.12,1013,1.2000000000000002,308,1.1
2019,1,1,15,0,125,15.100000000000001,61,752,293,7,10.9,77,0,148,0.23900000000000002,76.25,72.04,0.12,1014,1.2000000000000002,316,0.8
2019,1,1,16,0,44,12.100000000000001,44,562,136,7,10.700000000000001,0,7,44,0.241,90.94,80.5,0.12,1014,1.1,333,0.5
2019,1,1,17,0,0,9.700000000000001,0,0,0,7,8.8,0,7,0,0.241,94.34,89.9,0.12,1016,1.2000000000000002,350,0.6000000000000001
