Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,4405741,-,b'Virginia',b'United States',38.48,-78.63,-5,295,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2019,1,1,0,0,0,11.9,0,0,0,6,11.700000000000001,0,0,0,0.222,98.84,164.08,0.12,971,3.6,211,1.2000000000000002
2019,1,1,1,0,0,12.100000000000001,0,0,0,7,12,0,0,0,0.224,99.14,162.11,0.12,970,3.2,217,1.2000000000000002
2019,1,1,2,0,0,11.9,0,0,0,7,11.8,0,0,0,0.225,99.62,153.31,0.12,971,2.5,226,1.1
2019,1,1,3,0,0,11.700000000000001,0,0,0,1,11.600000000000001,0,0,0,0.227,99.62,142.27,0.12,971,2,237,1.1
2019,1,1,4,0,0,11.700000000000001,0,0,0,0,11.3,0,0,0,0.229,97.53,130.62,0.12,971,1.6,248,1.2000000000000002
2019,1,1,5,0,0,11.200000000000001,0,0,0,4,10.3,0,0,0,0.232,94.41,118.91,0.12,972,1.4000000000000001,261,1.4000000000000001
2019,1,1,6,0,0,10.3,0,0,0,4,8.9,0,0,0,0.23500000000000001,91.11,107.43,0.12,974,1.2000000000000002,270,1.4000000000000001
2019,1,1,7,0,0,9.4,0,0,0,4,7.5,0,0,0,0.23600000000000002,88.18,96.41,0.12,975,1.1,275,1.3
2019,1,1,8,0,18,9.5,25,340,49,7,7.300000000000001,0,7,18,0.23700000000000002,86.22,85.96000000000001,0.12,976,1,283,1.3
2019,1,1,9,0,74,10,52,669,203,7,7.2,0,7,74,0.23900000000000002,82.95,76.93,0.12,977,1,294,1.7000000000000002
2019,1,1,10,0,147,9.9,66,802,348,7,6.5,92,0,179,0.241,79.5,69.42,0.12,978,0.9,303,2.2
2019,1,1,11,0,139,9.700000000000001,74,863,451,7,5.800000000000001,0,0,139,0.243,76.92,64.1,0.12,978,0.9,306,2.2
2019,1,1,12,0,170,10.3,72,905,503,7,5.4,11,0,175,0.247,71.69,61.58,0.12,978,0.8,308,2.3000000000000003
2019,1,1,13,0,195,11.200000000000001,69,906,492,6,5.2,52,0,220,0.247,66.78,62.21,0.12,978,0.8,312,2.3000000000000003
2019,1,1,14,0,96,11.3,66,870,421,6,5.2,0,0,96,0.248,66.02,65.9,0.12,979,0.8,316,2.1
2019,1,1,15,0,124,10.3,58,778,296,7,5.4,73,0,146,0.25,71.5,72.17,0.12,980,0.9,320,1.6
2019,1,1,16,0,62,7.7,43,588,141,7,5.1000000000000005,46,7,69,0.252,83.75,80.37,0.12,981,0.9,321,0.9
2019,1,1,17,0,0,5.9,0,0,0,7,4.1000000000000005,0,7,0,0.253,87.91,89.61,0.12,982,0.9,322,0.9
2019,1,1,18,0,0,5.4,0,0,0,6,3.7,0,0,0,0.254,88.8,100.7,0.12,983,0.9,325,0.8
2019,1,1,19,0,0,4.2,0,0,0,6,2.9000000000000004,0,0,0,0.255,91.3,111.93,0.12,983,0.9,327,0.7000000000000001
2019,1,1,20,0,0,3.5,0,0,0,7,2.4000000000000004,0,0,0,0.256,92.76,123.53,0.12,984,0.8,327,0.6000000000000001
2019,1,1,21,0,0,3.4000000000000004,0,0,0,7,2.2,0,0,0,0.257,91.75,135.26,0.12,984,0.8,328,0.6000000000000001
2019,1,1,22,0,0,3.3000000000000003,0,0,0,6,1.9000000000000001,0,0,0,0.26,90.24,146.75,0.12,983,0.8,327,0.6000000000000001
2019,1,1,23,0,0,3.3000000000000003,0,0,0,7,1.5,0,0,0,0.262,87.91,157.19,0.12,983,0.8,322,0.7000000000000001
2019,1,2,0,0,0,3.4000000000000004,0,0,0,6,1.2000000000000002,0,0,0,0.265,85.66,163.98,0.12,983,0.8,312,0.7000000000000001
2019,1,2,1,0,0,3.3000000000000003,0,0,0,7,1.1,0,0,0,0.267,85.44,162.09,0.12,984,0.8,303,0.7000000000000001
2019,1,2,2,0,0,3.2,0,0,0,7,1,0,0,0,0.267,85.46000000000001,153.33,0.12,984,0.8,297,0.7000000000000001
2019,1,2,3,0,0,2.9000000000000004,0,0,0,7,0.9,0,0,0,0.267,86.78,142.31,0.12,984,0.8,297,0.7000000000000001
2019,1,2,4,0,0,2.7,0,0,0,7,0.9,0,0,0,0.265,87.65,130.67000000000002,0.12,984,0.9,302,0.7000000000000001
2019,1,2,5,0,0,2.9000000000000004,0,0,0,7,0.8,0,0,0,0.263,86.34,118.96000000000001,0.12,985,0.9,306,0.7000000000000001
2019,1,2,6,0,0,3.5,0,0,0,4,0.9,0,0,0,0.262,83.10000000000001,107.47,0.12,985,0.9,312,0.5
2019,1,2,7,0,0,3.9000000000000004,0,0,0,7,1,0,0,0,0.262,81.24,96.44,0.12,986,1,262,0.1
2019,1,2,8,0,18,3.8000000000000003,28,257,46,4,1.3,0,7,18,0.262,83.85000000000001,85.97,0.12,987,1.1,150,0.5
2019,1,2,9,0,46,4.2,64,578,194,6,2.7,0,7,46,0.262,89.9,76.93,0.12,987,1.1,143,0.4
2019,1,2,10,0,54,5.2,85,708,334,6,2.6,0,0,54,0.263,83.33,69.39,0.12,986,1.1,154,0.9
2019,1,2,11,0,133,5.7,100,758,432,7,2.8000000000000003,0,0,133,0.262,81.8,64.05,0.12,985,1.2000000000000002,165,1.3
2019,1,2,12,0,42,6,109,770,477,6,3,0,0,42,0.262,81.2,61.5,0.12,984,1.2000000000000002,167,1.6
2019,1,2,13,0,77,6.1000000000000005,116,735,460,7,3.2,0,0,77,0.262,81.5,62.11,0.12,983,1.3,165,1.6
2019,1,2,14,0,67,6,112,673,388,7,3.3000000000000003,0,0,67,0.262,82.67,65.78,0.12,982,1.4000000000000001,164,1.6
2019,1,2,15,0,17,5.6000000000000005,94,578,272,6,3.5,0,0,17,0.261,86.49,72.03,0.12,982,1.5,166,1.3
2019,1,2,16,0,10,4.9,60,401,128,6,3.6,0,7,10,0.262,91.08,80.23,0.12,982,1.5,166,0.9
2019,1,2,17,0,0,4.1000000000000005,0,0,0,6,3.1,0,7,0,0.264,93.19,89.49,0.12,982,1.6,169,0.8
2019,1,2,18,0,0,3.8000000000000003,0,0,0,6,2.9000000000000004,0,0,0,0.264,93.79,100.56,0.12,982,1.7000000000000002,169,0.9
2019,1,2,19,0,0,3.6,0,0,0,6,2.7,0,0,0,0.265,94.15,111.79,0.12,981,1.8,171,0.9
2019,1,2,20,0,0,3.5,0,0,0,6,2.7,0,0,0,0.266,94.46000000000001,123.39,0.12,980,1.8,175,0.8
2019,1,2,21,0,0,3.4000000000000004,0,0,0,6,2.7,0,0,0,0.268,95.2,135.12,0.12,978,1.8,181,0.7000000000000001
2019,1,2,22,0,0,3.5,0,0,0,7,2.8000000000000003,0,0,0,0.27,94.88,146.61,0.12,978,1.8,196,0.7000000000000001
2019,1,2,23,0,0,3.6,0,0,0,7,2.8000000000000003,0,0,0,0.271,94.79,157.05,0.12,977,1.9000000000000001,206,0.8
2019,1,3,0,0,0,3.7,0,0,0,8,3,0,0,0,0.27,94.98,163.86,0.12,976,2,211,0.7000000000000001
2019,1,3,1,0,0,3.9000000000000004,0,0,0,7,3.2,0,0,0,0.27,94.95,162.06,0.12,976,2.1,217,0.7000000000000001
2019,1,3,2,0,0,4.1000000000000005,0,0,0,4,3.3000000000000003,0,0,0,0.27,94.8,153.35,0.12,976,2.2,239,0.7000000000000001
2019,1,3,3,0,0,4.3,0,0,0,6,3.3000000000000003,0,0,0,0.27,93.22,142.35,0.12,976,2.1,265,0.6000000000000001
2019,1,3,4,0,0,4.1000000000000005,0,0,0,8,3,0,0,0,0.271,92.62,130.71,0.12,976,2,283,0.6000000000000001
