Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2021,1,1,0,0,0,-0.1,0,0,0,4,-1,0,0,0,0.28200000000000003,93.85000000000001,164.03,0.12,989,2,37,0.7000000000000001
2021,1,1,1,0,0,0.1,0,0,0,4,-1.1,0,0,0,0.281,91.47,162.1,0.12,989,2.1,42,0.8
2021,1,1,2,0,0,0.1,0,0,0,7,-1.4000000000000001,0,0,0,0.28,89.56,153.32,0.12,990,2.2,50,0.9
2021,1,1,3,0,0,0.1,0,0,0,4,-1.7000000000000002,0,0,0,0.279,87.77,142.29,0.12,990,2.2,57,0.9
2021,1,1,4,0,0,-0.1,0,0,0,7,-2.1,0,0,0,0.278,86.67,130.65,0.12,990,2.2,61,1
2021,1,1,5,0,0,-0.1,0,0,0,6,-2.4000000000000004,0,0,0,0.277,84.8,118.94,0.12,990,2.2,64,1.1
2021,1,1,6,0,0,-0.1,0,0,0,7,-2.4000000000000004,0,0,0,0.275,84.31,107.45,0.12,990,2.2,65,0.9
2021,1,1,7,0,0,-0.1,0,0,0,7,-2.5,0,0,0,0.273,83.69,96.43,0.12,990,2.3000000000000003,77,0.8
2021,1,1,8,0,8,0.1,26,249,44,6,-3,0,7,8,0.271,79.60000000000001,85.96000000000001,0.12,990,2.3000000000000003,90,1.2000000000000002
2021,1,1,9,0,7,0.5,58,568,186,6,-3.4000000000000004,0,0,7,0.271,75.34,76.93,0.12,990,2.4000000000000004,115,1.3
2021,1,1,10,0,14,0.6000000000000001,76,694,320,6,-3.2,0,0,14,0.269,75.68,69.4,0.12,989,2.7,118,1.3
2021,1,1,11,0,37,0.4,84,762,417,7,-2.9000000000000004,0,0,37,0.267,78.38,64.07000000000001,0.12,988,2.8000000000000003,128,1.3
2021,1,1,12,0,68,0.2,81,809,467,6,-2.6,0,0,68,0.266,81.41,61.54,0.12,987,2.7,123,1.3
2021,1,1,13,0,37,0.4,81,799,454,6,-2.2,0,0,37,0.268,82.81,62.160000000000004,0.12,984,2.8000000000000003,115,1.4000000000000001
2021,1,1,14,0,18,0.5,80,746,385,6,-1.7000000000000002,0,0,18,0.27,85.23,65.84,0.12,984,2.8000000000000003,152,1.5
2021,1,1,15,0,5,0.4,72,637,268,6,-1.3,0,0,5,0.271,88.33,72.10000000000001,0.12,983,2.9000000000000004,144,1.5
2021,1,1,16,0,3,0.1,51,428,123,9,-1.2000000000000002,0,0,3,0.273,90.84,80.3,0.12,982,3,153,1
2021,1,1,17,0,0,0,0,0,0,6,-1.2000000000000002,0,7,0,0.275,91.84,89.54,0.12,982,3.2,180,0.8
2021,1,1,18,0,0,0.30000000000000004,0,0,0,9,-1,0,0,0,0.276,91.12,100.63,0.12,981,3.2,202,0.7000000000000001
2021,1,1,19,0,0,1.1,0,0,0,6,-0.2,0,1,0,0.277,91.11,111.86,0.12,980,3,189,0.6000000000000001
2021,1,1,20,0,0,0.8,0,0,0,6,-0.30000000000000004,0,0,0,0.279,92.36,123.47,0.12,978,2.5,189,1
2021,1,1,21,0,0,0.5,0,0,0,8,-0.5,0,0,0,0.278,93.13,135.19,0.12,978,2.1,199,0.8
2021,1,1,22,0,0,0.7000000000000001,0,0,0,8,-0.2,0,0,0,0.276,93.94,146.68,0.12,976,2,205,1.1
2021,1,1,23,0,0,1.1,0,0,0,0,0.30000000000000004,0,0,0,0.276,94.25,157.13,0.12,975,2.1,215,1.2000000000000002
2021,1,2,0,0,0,1.4000000000000001,0,0,0,0,0.6000000000000001,0,0,0,0.275,94.68,163.92000000000002,0.12,974,2.1,220,1.5
2021,1,2,1,0,0,1.7000000000000002,0,0,0,0,1,0,0,0,0.273,95.17,162.07,0.12,973,2,220,1.6
2021,1,2,2,0,0,2,0,0,0,0,1.4000000000000001,0,0,0,0.271,95.93,153.34,0.12,973,2.1,228,1.4000000000000001
2021,1,2,3,0,0,2.5,0,0,0,0,2,0,0,0,0.269,96.5,142.33,0.12,973,2,248,1.5
2021,1,2,4,0,0,3,0,0,0,0,2.6,0,0,0,0.268,97.06,130.69,0.12,973,1.6,263,1.1
2021,1,2,5,0,0,3.1,0,0,0,0,2.8000000000000003,0,0,0,0.267,98.05,118.98,0.12,973,1.3,271,0.9
2021,1,2,6,0,0,3,0,0,0,0,2.7,0,0,0,0.266,97.7,107.49000000000001,0.12,974,1.1,271,0.7000000000000001
2021,1,2,7,0,0,2.7,0,0,0,0,2.4000000000000004,0,0,0,0.264,97.88,96.45,0.12,975,1,267,0.7000000000000001
2021,1,2,8,0,23,3.2,23,385,50,0,2.6,385,0,50,0.261,95.93,85.98,0.12,975,1,262,0.8
2021,1,2,9,0,47,4,47,702,206,8,3.2,622,0,187,0.261,94.54,76.92,0.12,976,1,261,1
2021,1,2,10,0,143,5.2,60,822,349,7,4,230,0,224,0.261,91.78,69.38,0.12,976,1,286,1
2021,1,2,11,0,193,6.7,66,877,451,7,4.4,136,0,253,0.26,85.21000000000001,64.02,0.12,977,1.1,303,1.5
2021,1,2,12,0,212,7.800000000000001,69,899,499,7,4.4,215,0,314,0.26,79.03,61.46,0.12,977,1.1,315,1.7000000000000002
2021,1,2,13,0,176,8.4,69,894,488,7,4.4,411,0,368,0.261,75.94,62.050000000000004,0.12,977,1.1,324,1.5
