Site Number,Site Name,Agency,Sub Agency,Electric Consumption (kWh/yr),Electric Cost ($/yr),Electric Rate ($/kWh),Net Present Value ($),Wind Size (kW),Capital Cost w/ Incentives ($),Annual O&M Cost ($/yr),Electricity from RE (%)
31,BSU Kodiak,DHS,USCG,30325090.13,4527535.957,0.1493,4203395,3333,4897655,116655,20.0
43,Presidio of Monterey,DOD,ARMY,33149036.14,4422005,0.1334,12475994,3127,11942411,292585,55.2
44,Fort Greely,DOD,ARMY,29497486,4443862,0.1507,205674291,130470,335350978,8266450,1360.2
50,CALIFORNIA NATIONAL GUARD,DOD,ARMY,42977282.12,5943758.118,0.1383,20262167,3333,17250201,412835,63.1
68,Fort Irwin,DOD,ARMY,77255362.37,8052837,0.1042,41817286,21487,41007094,1053025,112.1
136,MALMSTROM AIR FORCE BASE,DOD,USAF,65947000,7229000,0.1096,12400907,3333,24571782,919655,63.5
145,TRAVIS AIR FORCE BASE,DOD,USAF,86893000,5038000,0.058,2739601,3333,3455348,116655,13.1
153,VANDENBERG AIR FORCE BASE,DOD,USAF,129933699.1,18294664.84,0.1408,40907832,3333,25339952,691036,32.2
167,EIELSON AIR FORCE BASE,DOD,USAF,4264000,1634000,0.3832,13013054,2311,4904584,106505,100.8
202,FMC Lompoc,DOJ,BOP,31710233.36,6497426.815,0.2049,40385276,3333,14813565,445715,72.4
207,FCC Victorville,DOJ,BOP,38501086.15,4546978.274,0.1181,15681529,3333,14135028,342975,65.9
305,662 - VAMC San Francisco CA,VA,VA,23721684,2766495,0.1166,11202321,3333,9175543,231755,69.9
324,664 - San Diego HCS,VA,VA,3499625,1590483,0.4545,12320468,1505,3982761,95255,124.0
92,SCHOFIELD BARRACKS,DOD,ARMY,196382114.2,63706357.84,0.3244,350305155,3333,98229152,8802618,104.0
37,WISCONSIN NATIONAL GUARD,DOD,ARMY,21679733.41,2354419.049,0.1086,10111473,3333,21442030,474495,143.4
38,MINNESOTA NATIONAL GUARD,DOD,ARMY,22408643.45,2245346.074,0.1002,5917013,3333,4897655,116655,44.1
60,Pueblo Chemical Depot,DOD,ARMY,56259214.56,7128042.484,0.1267,20865791,3333,17896101,394975,52.0
65,FORT LEAVENWORTH,DOD,ARMY,78480171.48,6036606,0.0769,3820526,5827,8131976,203945,21.6
71,CORPUS CHRISTI ARMY DEPOT,DOD,ARMY,91284647.34,12833376,0.1406,3794047,1499,5358027,110609,7.0
84,LAKE CITY ARMY AMMUNITION PLANT,DOD,ARMY,95681758.96,5933513,0.062,6619073,16618,22126188,581630,59.1
86,FORT RILEY,DOD,ARMY,162078379.1,10897919,0.0672,37577454,53233,69610024,1863155,121.1
93,FORT LEONARD WOOD,DOD,ARMY,203779668.2,19998916,0.0981,38081378,33088,43485160,1158080,42.3
105,FORT HOOD,DOD,ARMY,353026588.2,18881126,0.0535,6057713,34746,41071791,1216110,31.8
118,ALTUS AIR FORCE BASE,DOD,USAF,44088840.43,4210484.261,0.0955,12683405,3333,13617977,299035,56.9
120,CANNON AIR FORCE BASE,DOD,USAF,50301000,3070000,0.061,4870744,3333,19422422,449995,76.3
122,GRAND FORKS AIR FORCE BASE,DOD,USAF,52041908.7,4173761.078,0.0802,6963280,3333,4897655,116655,24.7
123,MCCONNELL AIR FORCE BASE,DOD,USAF,52417397.08,4476445.71,0.0854,5434437,3333,4897655,116655,21.2
124,FRANCIS E WARREN AIR FORCE BASE,DOD,USAF,52475293.08,4733271.436,0.0902,7799987,3333,14393872,316435,50.3
126,ELLSWORTH AIR FORCE BASE,DOD,USAF,56449510.15,5492537.338,0.0973,8036402,3333,10836224,699155,46.1
128,DYESS AIR FORCE BASE,DOD,USAF,61127173.68,4987977.372,0.0816,9525287,3333,17381902,426755,56.7
139,RANDOLPH AIR FORCE BASE (JBSA),DOD,USAF,83858984.78,6431984.132,0.0767,438443,3333,4442562,117895,9.6
144,WHITEMAN AIR FORCE BASE,DOD,USAF,90653463.97,7469845.432,0.0824,2803247,3333,4897655,116655,10.8
147,MINOT AIR FORCE BASE,DOD,USAF,101020543.7,8101847.606,0.0802,5697742,3333,4897655,116655,11.9
152,SHEPPARD AIR FORCE BASE,DOD,USAF,125613542.5,10250065.07,0.0816,9583508,3333,21291610,524175,32.5
154,OFFUTT AIR FORCE BASE,DOD,USAF,132447434.4,12450058.84,0.094,8173782,3333,4897655,116655,8.8
183,Pantex Plant,DOE,NS,72926896.62,4966321.66,0.0681,7368360,3333,4407889,116655,19.9
197,FCC Florence,DOJ,BOP,25632539.38,3247642.739,0.1267,16878869,3333,11564977,252995,81.6
198,USP Leavenworth,DOJ,BOP,26735706.49,2275208.623,0.0851,3485041,3333,4897655,116655,37.1
215,FAA Aeronautical Center OK City,DOT,FAA,50752005.31,3618617.98,0.0713,2620188,3333,4897655,116655,20.7
219,FED BLDG NO 2,GSA,6,27772649.02,2374561.492,0.0855,3286565,3333,4949366,118655,35.5
258,BRL(FARGO),USDA,ARS,55183558,4398129.572,0.0797,4453228,3333,4897655,116655,20.4
260,NCAH (Ames),USDA,ARS,79596822.95,6749810.586,0.0848,3859650,3333,4897655,116655,12.8
264,607 - VAMC Madison WI,VA,VA,14835952,1290395,0.087,3400208,3333,4897655,116655,65.0
